"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-03",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-04",,,,,"0.09",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-05",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-06",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-07",,,,,"0.07",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-08",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-09",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-10",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-11",,,,,"0.03",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-12",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-13",,,,,"0.07",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-14",,,,,"0.12",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-15",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-16",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-17",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-18",,,,,"0.06",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-19",,,,,"0.08",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-20",,,,,"0.47",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-21",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-22",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-23",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-24",,,,,"2.10",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-25",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-26",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-27",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-28",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-29",,,,,"0.20",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-30",,,,,"0.56",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-03-31",,,,,"0.13",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-01",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-02",,,,,"0.06",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-03",,,,,"0.83",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-04",,,,,"0.92",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-05",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-06",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-07",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-08",,,,,"0.03",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-09",,,,,"0.03",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-10",,,,,"0.62",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-11",,,,,"0.04",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-12",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-13",,,,,"0.04",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-14",,,,,"1.30",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-15",,,,,"0.03",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-16",,,,,"0.02",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-17",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-18",,,,,"0.67",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-19",,,,,"0.12",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-20",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-21",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-22",,,,,"0.32",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-23",,,,,"0.00",",,N",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","42.243336","-70.954796","15.8","2020-04-24",,,,,"0.14",",,N",,,,,,,,,,,,
